@RELATION 'church0.names'

@ATTRIBUTE chip_affymetrix_chip {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs numeric
@ATTRIBUTE a_fy4_a numeric
@ATTRIBUTE alpha_fy5_alpha numeric
@ATTRIBUTE gal_gal numeric
@ATTRIBUTE heat_heat numeric
@ATTRIBUTE rel_alpha_fy5_alpha numeric
@ATTRIBUTE rel_gal_gal numeric
@ATTRIBUTE rel_heat_heat numeric
@ATTRIBUTE avg_abund numeric
@ATTRIBUTE median_deviation_of_log_fc_gal numeric
@ATTRIBUTE sig_gal numeric
@ATTRIBUTE sig_and_fc_gal numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha numeric
@ATTRIBUTE sig_fy5_alpha numeric
@ATTRIBUTE sig_and_fc_fy5_alpha numeric
@ATTRIBUTE median_deviation_of_log_fc_heat numeric
@ATTRIBUTE sig_heat numeric
@ATTRIBUTE sig_and_fc_heat numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha numeric
@ATTRIBUTE thrshld_1=below_detection_gal numeric
@ATTRIBUTE thrshld_1=below_detection_heat numeric
@ATTRIBUTE thrshld_gal numeric
@ATTRIBUTE thrshld_fy5_alpha numeric
@ATTRIBUTE thrshld_heat numeric
@ATTRIBUTE below_threshold_in_all_conditions numeric
@ATTRIBUTE class hierarchical 1/0/0/0,1/1/0/0,1/1/1/0,1/1/1/11,1/1/1/15,1/1/1/7,1/1/10/0,1/1/10/1,1/1/10/5,1/1/4/0,1/1/7/0,1/1/99/0,1/2/0/0,1/2/1/0,1/2/4/0,1/20/0/0,1/20/1/0,1/20/1/7,1/20/17/0,1/20/17/3,1/3/0/0,1/3/1/0,1/3/10/0,1/3/13/0,1/3/16/0,1/3/16/1,1/3/19/0,1/3/4/0,1/3/7/0,1/3/99/0,1/4/0/0,1/4/1/0,1/4/4/0,1/4/7/0,1/4/99/0,1/5/0/0,1/5/1/0,1/5/1/3,1/5/4/0,1/5/7/0,1/5/99/0,1/6/0/0,1/6/1/0,1/6/1/1,1/6/1/3,1/6/1/7,1/6/10/0,1/6/13/0,1/6/4/0,1/6/7/0,1/6/99/0,1/7/0/0,1/7/1/0,1/7/10/0,1/7/4/0,1/7/7/0,1/7/99/0,10/0/0/0,10/1/0/0,10/1/1/0,10/1/5/0,10/1/5/5,10/1/9/0,10/1/9/11,10/1/99/0,10/5/0/0,11/0/0/0,11/1/0/0,11/10/0/0,11/10/3/0,11/7/0/0,11/7/1/0,11/7/99/0,11/99/0/0,13/0/0/0,13/1/0/0,13/1/1/0,13/1/1/1,13/1/1/3,13/1/1/99,13/1/3/0,13/1/3/1,13/1/3/3,13/1/3/5,13/1/3/99,13/11/0/0,13/11/3/0,13/11/3/13,13/11/3/1,13/11/3/7,14/0/0/0,14/1/0/0,14/1/3/0,14/1/3/99,14/10/0/0,14/10/2/0,14/10/2/1,14/20/0/0,14/4/0/0,14/4/3/0,14/4/3/1,14/4/3/3,14/4/3/5,2/0/0/0,2/1/0/0,2/10/0/0,2/11/0/0,2/11/5/0,2/11/99/0,2/13/0/0,2/16/0/0,2/19/0/0,2/22/0/0,2/25/0/0,2/7/0/0,2/99/0/0,29/0/0/0,29/99/0/0,3/0/0/0,3/1/0/0,3/1/3/0,3/1/5/0,3/1/5/1,3/1/9/0,3/1/9/5,3/3/0/0,3/3/1/0,3/3/1/3,3/3/2/0,3/3/3/0,3/3/4/0,3/3/4/3,3/3/4/5,3/99/0/0,30/0/0/0,30/1/0/0,30/10/0/0,30/10/3/0,30/16/0/0,30/19/0/0,30/2/0/0,30/22/0/0,30/25/0/0,30/3/0/0,30/4/0/0,30/7/0/0,30/8/0/0,30/9/0/0,30/99/0/0,4/0/0/0,4/1/0/0,4/1/1/0,4/1/4/0,4/1/99/0,4/3/0/0,4/3/1/0,4/3/3/0,4/3/6/0,4/3/99/0,4/5/0/0,4/5/1/0,4/5/1/1,4/5/1/4,4/5/5/0,4/5/5/1,4/5/5/5,4/5/99/0,4/7/0/0,4/99/0/0,40/0/0/0,40/1/0/0,40/10/0/0,40/10/3/0,40/16/0/0,40/19/0/0,40/2/0/0,40/22/0/0,40/25/0/0,40/27/0/0,40/3/0/0,40/30/0/0,40/4/0/0,40/5/0/0,40/7/0/0,40/8/0/0,40/9/0/0,40/99/0/0,5/0/0/0,5/1/0/0,5/10/0/0,5/4/0/0,5/4/1/0,5/4/2/0,5/7/0/0,5/99/0/0,6/0/0/0,6/1/0/0,6/10/0/0,6/13/0/0,6/13/1/0,6/13/1/1,6/13/4/0,6/13/4/2,6/13/99/0,6/4/0/0,6/7/0/0,6/7/1/0,6/7/11/0,6/7/2/0,6/7/3/0,6/7/4/0,6/7/99/0,6/99/0/0,62/0/0/0,62/2/0/0,62/2/5/0,63/0/0/0,63/1/0/0,63/9/0/0,67/0/0/0,67/1/0/0,67/1/1/0,67/10/0/0,67/11/0/0,67/13/0/0,67/16/0/0,67/19/0/0,67/28/0/0,67/4/0/0,67/4/1/0,67/4/1/1,67/4/1/2,67/4/7/0,67/50/0/0,67/50/22/0,67/50/25/0,67/50/99/0,67/7/0/0,67/7/99/0,67/99/0/0,8/0/0/0,8/1/0/0,8/10/0/0,8/13/0/0,8/16/0/0,8/19/0/0,8/22/0/0,8/4/0/0,8/7/0/0,8/99/0/0

@DATA
B,21,0.1,0.21,0.16,0.25,0.1,0,0.07,0.18,0.09,0,0,0.15,0.7,0,0.23,0.3,0,?,?,?,?,5,2,?,0,1/1/1/0@1/7/1/0@40/16/0/0@5/1/0/0 %  ytygl125w
B,20,0.4,0.56,0.28,0.94,0.1,-0.1,0.27,0.55,0.21,0.5,0,0.17,0.6,0,0.17,1.59,1,?,?,?,?,?,?,?,0,40/10/0/0@40/7/0/0@6/13/1/0 %  ytygr135w
B,20,3.39,5.46,3.79,3.35,0.1,0.09,-0.25,4.00,0.15,0.6,0,0.2,0.5,0,0.11,2.27,1,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytyhl015w
C,21,4.61,6.54,2.7,7.27,0.1,-0.23,0.08,5.28,0.19,1.2,1,0.07,1.4,0,0.17,0.47,0,?,?,?,?,?,?,?,0,11/1/0/0@14/10/0/0@3/3/1/0 %  ytykr042w
C,20,0.6,1.41,0.33,1.28,0.1,0,0.23,0.91,0.13,0,0,0.26,0.4,0,0.16,1.44,1,?,?,?,?,5,2,?,0,1/1/1/0@1/1/10/0 %  ytylr180w
C,21,4.04,7.95,6.35,6.44,0.1,0.08,0.14,6.20,0.14,0.6,0,0.14,0.7,0,0.24,0.58,0,?,?,?,?,?,?,?,0,11/7/0/0@40/3/0/0 %  ytyml028w
D,56,1.8,1.97,1.74,1.52,0.1,0.07,-0.01,1.76,0.15,0.5,0,0.17,0.6,0,0.22,0.05,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytynl301c
D,40,7.79,6.78,8.19,7.15,0.1,0.11,-0.02,7.48,0.15,0.7,0,0.18,0.6,0,0.12,0.17,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytyol120c
D,21,9.79,15.1,11.5,9.28,0.1,-0.05,-0.11,11.42,0.12,0.4,0,0.18,0.6,0,0.11,1,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytypl131w
B,21,0.1,0.13,0.18,0.13,0.09,0.11,0.15,0.14,0.12,0.9,0,0.07,1.3,0,0.15,1,0,?,?,?,?,?,?,?,0,2/16/0/0@40/16/0/0 %  ytyer073w
B,21,0.12,0.16,0.2,0.18,0.09,0,0.16,0.17,0.16,0,0,0.22,0.4,0,0.14,1.14,0,?,?,?,?,5,?,?,0,13/1/1/99@40/8/0/0@67/4/1/2@67/50/22/0@8/7/0/0 %  ytygl167c
B,41,1.38,1.64,2.3,1.27,0.09,0.14,-0.04,1.65,0.14,1,0,0.22,0.4,0,0.15,0.27,0,?,?,?,?,?,?,?,0,14/4/3/1@40/3/0/0@5/1/0/0@6/10/0/0 %  ytygr214w
B,20,0.11,0.19,0.21,0.24,0.09,0.12,0.15,0.19,0.14,0.9,0,0.07,1.3,0,0.17,0.88,0,?,?,?,?,2,?,2,0,1/1/1/0@1/3/1/0@1/3/4/0 %  ytyhl011c
B,20,0.57,0.96,0.4,0.6,0.09,0,-0.01,0.63,0.14,0,0,0.09,1,0,0.18,0.06,0,?,?,?,?,5,?,?,0,1/5/1/0@40/7/0/0@6/7/0/0 %  ytyjl002c
C,20,0.4,0.43,0.3,0.2,0.09,0,0,0.32,0.13,0,0,0.33,0.3,0,0.17,0,0,1,?,1,1,5,2,5,0,10/5/0/0@13/11/3/7@14/4/3/3@40/2/0/0 %  ytykl178c
C,20,0.4,0.63,0.36,0.82,0.09,0,0.14,0.54,0.13,0,0,0.3,0.3,0,0.28,0.5,0,1,?,?,?,5,?,?,0,1/3/1/0 %  ytylr017w
D,20,0.1,0.24,0.28,0.25,0.09,0.13,0.04,0.23,0.12,1.1,0,0.19,0.5,0,0.28,0.14,0,1,?,?,?,2,?,?,0,3/1/5/0 %  ytyol142w
D,50,3.03,3.22,3.27,2.24,0.09,0.02,-0.2,2.94,0.13,0.2,0,0.18,0.5,0,0.12,1.67,1,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytyor293w
B,20,0.17,0.26,0.2,0.27,0.08,0,0.05,0.23,0.05,0,0,0.06,1.3,0,0.16,0.31,0,?,?,?,?,5,?,2,0,40/3/0/0@5/7/0/0@67/50/25/0 %  ytyfr009w
C,55,1.33,2.85,1.27,2.5,0.08,0,0.1,1.99,0.18,0,0,0.17,0.5,0,0.17,0.59,0,?,?,?,?,5,?,2,0,40/3/0/0@5/1/0/0 %  ytylr406c
C,20,1.59,2.25,1.25,2.25,0.08,0,0.07,1.84,0.17,0,0,0.11,0.7,0,0.17,0.41,0,?,?,?,?,5,?,2,0,40/9/0/0@8/7/0/0 %  ytyml012w
D,21,0.54,0.58,2.43,0.87,0.08,0.45,0.07,1.11,0.22,2,1,0.18,0.4,0,0.14,0.5,0,?,?,?,?,?,?,?,0,2/13/0/0@40/16/0/0@6/10/0/0 %  ytymr256c
D,20,0.29,0.24,0.35,0.6,0.08,0.09,0.27,0.37,0.18,0.5,0,0.19,0.4,0,0.17,1.59,1,?,?,?,?,?,?,?,0,40/10/0/0@8/1/0/0 %  ytymr308c
D,20,0.35,0.54,0.56,0.94,0.08,0.05,0.13,0.60,0.15,0.3,0,0.2,0.4,0,0.17,0.76,0,?,?,?,?,?,2,?,0,40/16/0/0@6/4/0/0@67/99/0/0@8/4/0/0 %  ytynl070w
D,20,0.16,0.26,0.29,0.36,0.08,0.01,0.23,0.27,0.27,0,0,0.14,0.6,0,0.26,0.88,0,?,?,?,?,2,2,2,0,40/4/0/0@8/22/0/0 %  ytynr035c
D,20,0.52,0.58,0.8,0.69,0.08,0.12,0.04,0.65,0.11,1.1,0,0.2,0.4,0,0.06,0.67,0,?,?,?,?,?,?,?,0,6/4/0/0 %  ytyor286w
D,21,0.1,0.15,0.17,0.11,0.08,0.03,-0.08,0.14,0.17,0.2,0,0.19,0.4,0,0.2,0.4,0,1,?,?,?,2,2,?,0,4/1/4/0@40/10/0/0 %  ytypl211w
B,21,1.02,1.05,0.91,1.14,0.07,0.11,0.16,1.03,0.2,0.6,0,0.26,0.3,0,0.18,0.89,0,?,?,?,?,?,?,?,0,14/1/3/99@40/30/0/0 %  ytyer072w
B,21,1.24,1.12,2.5,2.29,0.07,0.21,0.1,1.79,0.22,1,0,0.12,0.6,0,0.17,0.59,0,?,?,?,?,?,?,?,0,40/9/0/0@8/7/0/0 %  ytygl200c
C,20,5.23,7.14,1.26,3.89,0.07,-0.3,0,4.38,0.3,1,1,0.09,0.8,0,0.19,0,0,?,?,?,?,?,2,5,0,40/3/0/0@5/1/0/0 %  ytyjr123w
D,21,0.25,0.33,0.26,0.46,0.07,-0.02,0.22,0.33,0.13,0.2,0,0.09,0.8,0,0.08,2.75,1,?,?,?,?,?,2,?,0,14/4/3/1 %  ytymr238w
D,20,7.05,7.67,6.58,6.59,0.07,0.05,-0.12,6.97,0.13,0.4,0,0.18,0.4,0,0.11,1.09,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytynl178w
D,20,0.1,0.17,0.17,0.15,0.07,0.08,0.02,0.15,0.26,0.3,0,0.13,0.5,0,0.22,0.09,0,1,?,?,?,?,?,2,0,5/10/0/0 %  ytynl247w
D,21,1.35,1.63,1.3,1.36,0.07,0.07,0.12,1.41,0.07,1,0,0.17,0.4,0,0.13,0.92,0,?,?,?,?,?,?,2,0,4/1/1/0@4/3/1/0@4/5/1/1@40/10/0/0 %  ytyor224c
D,20,0.1,0.21,0.14,0.25,0.07,0,0.11,0.18,0.31,0,0,0.18,0.4,0,0.26,0.42,0,1,?,?,?,4,2,?,0,14/1/0/0@14/4/3/1 %  ytypl032c
D,20,0.1,0.16,0.11,0.13,0.07,0,0.06,0.13,0.14,0,0,0.12,0.6,0,0.25,0.24,0,1,?,?,?,4,2,2,0,1/5/1/0@30/1/0/0@6/7/0/0 %  ytypl053c
D,21,0.99,1.06,0.93,0.67,0.07,-0.02,-0.03,0.91,0.15,0.1,0,0.18,0.4,0,0.14,0.21,0,?,?,?,?,?,?,?,0,40/3/0/0@5/4/0/0 %  ytypr016c
D,20,0.33,0.31,0.6,0.47,0.07,0.18,0,0.43,0.12,1.5,0,0.14,0.5,0,0.11,0,0,?,?,?,?,?,?,4,0,40/10/0/0@40/3/0/0@5/10/0/0 %  ytypr033c
A,20,2.24,1.79,2.23,0.92,0.06,0.11,-0.17,1.80,0.09,1.2,0,0.09,0.7,0,0.12,1.42,0,?,?,?,?,?,?,?,0,1/1/1/0@40/3/0/0 %  ytybr249c
A,20,3.84,4.11,7.41,4.11,0.06,0.13,0.04,4.87,0.11,1.2,0,0.06,1,0,0.1,0.4,0,?,?,?,?,?,?,?,0,40/8/0/0@6/10/0/0@8/7/0/0 %  ytydl192w
A,21,0.1,0.12,0.11,0.1,0.06,-0.05,0,0.10,0.05,1,0,0.21,0.3,0,0.02,0,0,1,?,?,1,?,?,5,0,3/3/1/0 %  ytydr457w
B,20,1.33,1.02,1.42,0.9,0.06,0.07,-0.08,1.17,0.19,0.4,0,0.11,0.5,0,0.21,0.38,0,?,?,?,?,?,?,?,0,40/10/0/0@40/3/0/0@8/1/0/0 %  ytyer009w
B,41,3.81,4.11,4.26,2.99,0.06,0.01,-0.17,3.79,0.17,0.1,0,0.17,0.4,0,0.16,1.06,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytygl076c
B,21,0.11,0.15,0.51,0.43,0.06,0.35,0.32,0.30,0.23,1.5,1,0.07,0.9,0,0.22,1.45,1,?,?,?,?,2,2,2,0,11/1/0/0@40/7/0/0@6/1/0/0 %  ytyhr057c
B,20,0.94,1.16,1.05,0.87,0.06,0,-0.05,1.01,0.1,0,0,0.1,0.6,0,0.1,0.5,0,?,?,?,?,5,?,?,0,11/1/0/0 %  ytyhr064c
C,41,0.41,0.58,0.36,0.6,0.06,0,0.02,0.49,0.13,0,0,0.16,0.4,0,0.19,0.11,0,?,?,?,?,5,?,2,0,1/3/1/0 %  ytyml056c
D,20,0.26,0.25,0.88,0.41,0.06,0.41,0.19,0.45,0.17,2.4,1,0.14,0.4,0,0.1,1.9,0,?,?,?,?,2,2,2,0,11/7/0/0@40/2/0/0@40/3/0/0@6/13/1/0 %  ytynl239w
D,20,0.36,0.58,0.87,0.92,0.06,0.21,0.19,0.68,0.12,1.8,1,0.17,0.4,0,0.15,1.27,0,?,?,?,?,?,?,?,0,40/16/0/0@6/4/0/0@67/99/0/0@8/4/0/0 %  ytynr017w
D,20,0.1,0.18,0.23,0.2,0.06,0,-0.01,0.18,0.22,0,0,0.17,0.4,0,0.21,0.05,0,1,?,?,?,4,2,?,0,1/5/4/0@14/4/3/5@4/5/1/4@40/10/0/0 %  ytynr052c
D,20,0.19,0.24,0.21,0.48,0.06,0.07,0.33,0.28,0.1,0.7,0,0.17,0.4,0,0.17,1.94,1,?,?,?,?,2,?,?,0,1/3/1/0 %  ytyor128c
D,64,1.87,2.69,2.54,2.07,0.06,0.06,-0.01,2.29,0.1,0.6,0,0.11,0.5,0,0.08,0.13,0,?,?,?,?,?,?,?,0,5/1/0/0 %  ytyor234c
B,20,4.53,4.95,3.95,1.99,0.05,0.01,-0.34,3.86,0.21,0,0,0.16,0.3,0,0.13,2.62,1,?,?,?,?,?,?,?,0,13/1/1/1@67/4/1/1 %  ytygl255w
B,21,2.26,2.95,6.31,2.21,0.05,0.33,0.09,3.43,0.18,1.8,1,0.21,0.2,0,0.13,0.69,0,?,?,?,?,?,?,?,0,1/6/1/0@1/6/13/0 %  ytygr037c
B,21,0.2,0.37,0.14,0.33,0.05,-0.16,0.05,0.26,0.14,1.1,0,0.14,0.4,0,0.22,0.23,0,?,?,?,?,?,?,2,0,1/3/1/0@40/3/0/0 %  ytygr061c
B,20,0.37,0.59,1.38,0.11,0.05,0.41,-0.6,0.61,0.09,4.6,1,0.08,0.6,0,0.19,3.26,1,?,?,?,?,?,?,1,0,11/1/0/0@40/3/0/0 %  ytygr234w
B,21,0.13,0.17,0.2,0.24,0.05,0.06,0.13,0.19,0.08,0.8,0,0.04,1.3,0,0.13,1,0,?,?,?,?,?,?,?,0,40/10/0/0@40/7/0/0@6/13/1/0 %  ytyhr027c
B,20,6.8,6.52,4.94,16,0.05,-0.05,0.43,8.55,0.21,0.2,0,0.11,0.5,0,0.22,1.95,1,?,?,?,?,?,?,?,0,11/7/0/0@40/3/0/0 %  ytyhr055c
C,21,0.8,1.3,0.7,1.16,0.05,0,-0.06,0.99,0.14,0,0,0.23,0.2,0,0.11,0.55,0,?,?,?,?,5,?,?,0,13/1/1/3@2/13/0/0@40/16/0/0@67/50/22/0@8/4/0/0 %  ytyjr121w
C,40,0.51,0.84,0.34,0.37,0.05,-0.18,0,0.52,0.09,2,0,0.32,0.2,0,0.17,0,0,?,?,?,?,?,?,5,0,40/3/0/0@5/4/0/0 %  ytykl081w
C,20,0.76,0.93,0.57,2.35,0.05,0,0.39,1.15,0.13,0,0,0.13,0.4,0,0.13,3,1,?,?,?,?,5,2,2,0,1/1/7/0@4/3/3/0 %  ytylr375w
D,20,0.14,0.28,0.26,0.13,0.05,0.04,-0.02,0.20,0.18,0.2,0,0.13,0.4,0,0.13,0.15,0,?,?,?,?,2,?,?,0,14/4/3/3@14/4/3/5@3/3/1/0@3/3/2/0 %  ytynl307c
D,20,0.51,0.54,0.57,0.96,0.05,0.12,0.3,0.65,0.15,0.8,0,0.14,0.4,0,0.12,2.5,1,?,?,?,?,?,?,2,0,40/10/0/0@40/7/0/0@6/13/1/0 %  ytyol038w
D,20,0.47,0.51,0.56,0.78,0.05,0.02,0.13,0.58,0.09,0.2,0,0.11,0.5,0,0.11,1.18,0,?,?,?,?,?,?,?,0,6/13/0/0 %  ytyol111c
D,20,0.79,0.81,0.77,0.48,0.05,0.01,-0.18,0.71,0.15,0.1,0,0.16,0.3,0,0.11,1.64,0,?,?,?,?,?,?,?,0,40/19/0/0 %  ytyol147c
D,20,1.34,1.16,2.53,1.54,0.05,0.23,0.01,1.64,0.11,2.1,1,0.09,0.6,0,0.09,0.11,0,?,?,?,?,?,?,?,0,1/5/1/0@40/8/0/0@6/7/0/0 %  ytyor099w
D,21,3.54,3.26,5.34,4.02,0.05,0.06,-0.17,4.04,0.13,0.5,0,0.27,0.2,0,0.15,1.13,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytyor369c
A,20,0.38,0.43,0.44,0.13,0.04,0.03,-0.1,0.35,0.12,0.3,0,0.09,0.4,0,0.12,0.75,0,?,?,?,?,?,?,1,0,3/1/3/0@3/1/5/0@40/10/0/0 %  ytybr088c
A,20,5.02,5.31,3.74,3.35,0.04,-0.14,-0.15,4.36,0.06,2.3,0,0.11,0.4,0,0.06,2.5,0,?,?,?,?,?,?,?,0,40/3/0/0@5/99/0/0 %  ytydl229w
B,20,3.58,2.94,5.14,2.49,0.04,0.16,-0.02,3.54,0.17,0.9,0,0.18,0.2,0,0.15,0.13,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytyhr010w
B,20,15.3,26,21.3,13.1,0.04,-0.07,-0.13,18.92,0.16,0.4,0,0.23,0.2,0,0.34,0.38,0,?,?,?,?,?,?,?,0,1/5/1/0@2/1/0/0@40/3/0/0 %  ytyhr174w
B,20,0.47,0.89,1.18,0.57,0.04,0.11,0,0.78,0.19,0.6,0,0.12,0.3,0,0.21,0,0,?,?,?,?,?,?,5,0,1/1/1/0@1/1/10/0@3/3/1/0@40/16/0/0 %  ytyhr208w
B,21,0.1,0.11,0.07,0.05,0.04,0,0,0.08,0.03,0,0,0.14,0.3,0,0.18,0,0,1,?,?,?,5,?,5,0,6/7/99/0 %  ytyil008w
B,20,0.8,1.46,0.94,0.65,0.04,0.05,0,0.96,0.06,0.8,0,0.12,0.3,0,0.2,0,0,?,?,?,?,?,?,5,0,1/3/16/0@40/3/0/0@5/10/0/0 %  ytyil078w
C,20,8.13,9.17,3.54,4.96,0.04,-0.25,-0.19,6.45,0.15,1.7,1,0.14,0.3,0,0.08,2.38,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytylr340w
D,20,2.55,1.8,3.38,1.03,0.04,0.1,-0.39,2.19,0.11,0.9,0,0.15,0.3,0,0.1,3.9,1,?,?,?,?,?,?,?,0,4/5/1/4@40/10/3/0 %  ytynl030w
D,20,1.09,0.9,2.69,1.08,0.04,0.47,-0.03,1.44,0.14,3.4,1,0.14,0.3,0,0.12,0.25,0,?,?,?,?,?,2,?,0,2/13/0/0@40/16/0/0 %  ytynl052w
D,21,2.49,2.75,3.82,2.35,0.04,0.16,-0.06,2.85,0.14,1.1,0,0.12,0.3,0,0.18,0.33,0,?,?,?,?,?,?,?,0,1/6/1/0@40/3/0/0 %  ytypl028w
D,20,0.76,0.47,0.67,1.16,0.04,-0.02,0.31,0.77,0.11,0.2,0,0.12,0.3,0,0.21,1.48,1,?,?,?,?,?,?,?,0,1/2/1/0 %  ytypl135w
A,94,1.05,1.34,1.27,1.25,0.03,-0.05,-0.03,1.23,0.15,0.3,0,0.11,0.3,0,0.16,0.19,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytydr025w
B,19,14.8,22.8,1.19,14.6,0.03,-0.89,-0.16,13.36,1.44,0.6,0,0.11,0.3,0,0.1,1.6,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytygl189c
B,20,12.8,13.2,10,10.1,0.03,-0.05,-0.12,11.51,0.14,0.4,0,0.18,0.2,0,0.12,1,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytyhr021c
C,20,10.7,10.3,5.08,8.56,0.03,-0.17,-0.06,8.67,0.14,1.2,0,0.09,0.3,0,0.08,0.75,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytykl056c
C,21,0.98,1.19,0.81,3.58,0.03,0,0.32,1.64,0.19,0,0,0.23,0.1,0,0.25,1.28,1,?,?,?,?,5,2,?,0,11/1/0/0@40/16/0/0@6/1/0/0 %  ytylr259c
C,40,9.06,8.98,3.58,7.36,0.03,-0.29,-0.1,7.25,0.15,1.9,1,0.08,0.4,0,0.16,0.63,0,?,?,?,?,?,?,?,0,2/16/0/0@40/3/0/0@5/1/0/0@5/4/0/0 %  ytymr116c
D,20,0.82,0.79,1.04,1.03,0.03,0.13,0.11,0.92,0.13,1,0,0.11,0.3,0,0.14,0.79,0,?,?,?,?,?,?,?,0,1/6/1/0@40/7/0/0@40/8/0/0 %  ytynl130c
D,20,0.14,0.16,0.2,0.18,0.03,0.03,0.07,0.17,0.16,0.2,0,0.14,0.2,0,0.14,0.5,0,?,?,?,?,?,2,2,0,30/1/0/0 %  ytynr030w
D,20,0.96,0.94,1.07,0.87,0.03,0.06,0.14,0.96,0.13,0.5,0,0.09,0.3,0,0.15,0.93,0,?,?,?,?,?,?,?,0,5/1/0/0 %  ytynr036c
A,46,0.43,0.33,0.24,0.5,0.02,0,0,0.38,0.12,0,0,0.17,0.1,0,0.06,0,0,?,?,?,?,5,2,5,0,40/3/0/0@5/1/0/0 %  ytybr084c-a
B,21,6.11,8.08,4.37,7.51,0.02,-0.06,0.07,6.52,0.2,0.3,0,0.16,0.1,0,0.15,0.47,0,?,?,?,?,?,?,?,0,11/7/0/0@13/1/1/3@40/25/0/0@67/4/1/2@67/50/22/0@8/13/0/0 %  ytyel027w
B,21,0.89,0.77,1.13,1.21,0.02,0.06,0.08,1.00,0.15,0.4,0,0.13,0.2,0,0.1,0.8,0,?,?,?,?,?,?,?,0,11/1/0/0 %  ytyer057c
B,21,0.18,0.25,0.12,0.11,0.02,0,0,0.17,0.04,0,0,0.05,0.4,0,0.18,0,0,?,?,?,?,5,?,5,0,40/8/0/0@8/7/0/0 %  ytygr172c
B,32,3.68,4.12,3.82,2.64,0.02,-0.02,-0.11,3.57,0.21,0.1,0,0.19,0.1,0,0.16,0.69,0,?,?,?,?,?,2,?,0,40/3/0/0@5/1/0/0@6/13/1/0 %  ytyil148w
B,21,0.1,0.09,0.13,0.15,0.02,0.01,0.23,0.11,0.23,0,0,0.15,0.1,0,0.22,1.05,1,1,?,?,?,2,?,?,0,40/3/0/0@6/10/0/0 %  ytyir012w
C,20,7.13,9.29,3.06,6.95,0.02,-0.3,-0.02,6.61,0.27,1,1,0.12,0.2,0,0.09,0.22,0,?,?,?,?,1,?,?,0,5/1/0/0 %  ytylr061w
C,21,0.36,0.44,0.32,0.42,0.02,0,0.02,0.39,0.13,0,0,0.23,0.1,0,0.18,0.11,0,?,?,?,?,5,2,?,0,1/1/1/0 %  ytylr172c
C,20,0.4,0.47,0.3,0.64,0.02,0,0.12,0.44,0.13,0,0,0.1,0.2,0,0.18,0.67,0,1,?,1,?,5,?,2,0,1/5/1/0@40/2/0/0 %  ytylr342w
D,21,0.94,1.18,1.16,0.86,0.02,0,-0.12,1.04,0.11,0,0,0.16,0.1,0,0.18,0.67,0,?,?,?,?,2,?,?,0,3/1/3/0@40/10/3/0@40/16/0/0 %  ytymr241w
D,20,0.15,0.27,0.34,0.36,0.02,0.18,0.12,0.28,0.1,1.8,0,0.13,0.2,0,0.28,0.43,0,?,?,?,?,?,?,?,0,1/5/1/0@2/16/0/0@40/3/0/0 %  ytymr303c
D,21,0.1,0.18,0.13,0.11,0.02,0,0.02,0.13,0.17,0,0,0.13,0.2,0,0.36,0.06,0,1,?,?,?,4,2,?,0,13/1/1/99@14/4/3/3@40/2/0/0 %  ytynl291c
D,21,0.11,0.12,0.18,0.24,0.02,0.05,0.14,0.16,0.32,0.2,0,0.13,0.2,0,0.24,0.58,0,?,?,?,?,?,?,?,0,40/9/0/0@6/4/0/0@8/13/0/0@8/19/0/0 %  ytyor089c
D,20,0.7,0.61,1.46,0.78,0.02,0.24,0.17,0.89,0.13,1.8,1,0.11,0.2,0,0.1,1.7,0,?,?,?,?,?,?,?,0,40/7/0/0@6/4/0/0@67/99/0/0@8/99/0/0 %  ytypl094c
D,21,0.42,0.42,0.5,0.49,0.02,0.11,0.09,0.46,0.15,0.7,0,0.1,0.2,0,0.22,0.41,0,?,?,?,?,?,?,?,0,30/25/0/0@40/25/0/0@6/13/4/0 %  ytypl149w
A,21,0.09,0.13,0.14,0.15,0.01,0.02,0,0.13,0.1,0.2,0,0.08,0.1,0,0.04,0,0,?,?,?,?,2,2,5,0,1/3/7/0 %  ytybr014c
