@RELATION 'eisen0.names'

@ATTRIBUTE alpha_0 numeric
@ATTRIBUTE alpha_7 numeric
@ATTRIBUTE alpha_14 numeric
@ATTRIBUTE alpha_21 numeric
@ATTRIBUTE alpha_28 numeric
@ATTRIBUTE alpha_35 numeric
@ATTRIBUTE alpha_42 numeric
@ATTRIBUTE alpha_49 numeric
@ATTRIBUTE alpha_56 numeric
@ATTRIBUTE alpha_63 numeric
@ATTRIBUTE alpha_70 numeric
@ATTRIBUTE alpha_77 numeric
@ATTRIBUTE alpha_84 numeric
@ATTRIBUTE alpha_91 numeric
@ATTRIBUTE alpha_98 numeric
@ATTRIBUTE alpha_105 numeric
@ATTRIBUTE alpha_112 numeric
@ATTRIBUTE alpha_119 numeric
@ATTRIBUTE elu_0 numeric
@ATTRIBUTE elu_30 numeric
@ATTRIBUTE elu_60 numeric
@ATTRIBUTE elu_90 numeric
@ATTRIBUTE elu_120 numeric
@ATTRIBUTE elu_150 numeric
@ATTRIBUTE elu_180 numeric
@ATTRIBUTE elu_210 numeric
@ATTRIBUTE elu_240 numeric
@ATTRIBUTE elu_270 numeric
@ATTRIBUTE elu_300 numeric
@ATTRIBUTE elu_330 numeric
@ATTRIBUTE elu_360 numeric
@ATTRIBUTE elu_390 numeric
@ATTRIBUTE cdc15_10 numeric
@ATTRIBUTE cdc15_30 numeric
@ATTRIBUTE cdc15_50 numeric
@ATTRIBUTE cdc15_70 numeric
@ATTRIBUTE cdc15_90 numeric
@ATTRIBUTE cdc15_110 numeric
@ATTRIBUTE cdc15_130 numeric
@ATTRIBUTE cdc15_150 numeric
@ATTRIBUTE cdc15_170 numeric
@ATTRIBUTE cdc15_190 numeric
@ATTRIBUTE cdc15_210 numeric
@ATTRIBUTE cdc15_230 numeric
@ATTRIBUTE cdc15_250 numeric
@ATTRIBUTE cdc15_270 numeric
@ATTRIBUTE cdc15_290 numeric
@ATTRIBUTE spo_0 numeric
@ATTRIBUTE spo_2 numeric
@ATTRIBUTE spo_5 numeric
@ATTRIBUTE spo_7 numeric
@ATTRIBUTE spo_9 numeric
@ATTRIBUTE spo_11 numeric
@ATTRIBUTE spo5_2 numeric
@ATTRIBUTE spo5_7 numeric
@ATTRIBUTE spo5_11 numeric
@ATTRIBUTE spo__early numeric
@ATTRIBUTE spo__mid numeric
@ATTRIBUTE heat_0 numeric
@ATTRIBUTE heat_10 numeric
@ATTRIBUTE heat_20 numeric
@ATTRIBUTE heat_40 numeric
@ATTRIBUTE heat_80 numeric
@ATTRIBUTE heat_160 numeric
@ATTRIBUTE dtt_15 numeric
@ATTRIBUTE dtt_30 numeric
@ATTRIBUTE dtt_60 numeric
@ATTRIBUTE dtt_120 numeric
@ATTRIBUTE cold_0 numeric
@ATTRIBUTE cold_20 numeric
@ATTRIBUTE cold_40 numeric
@ATTRIBUTE cold_160 numeric
@ATTRIBUTE diau_540 numeric
@ATTRIBUTE diau_660 numeric
@ATTRIBUTE diau_780 numeric
@ATTRIBUTE diau_900 numeric
@ATTRIBUTE diau_1020 numeric
@ATTRIBUTE diau_1140 numeric
@ATTRIBUTE diau_1260 numeric
@ATTRIBUTE class hierarchical 1/0/0/0,1/1/0/0,1/1/1/0,1/1/1/11,1/1/1/15,1/1/1/7,1/1/10/0,1/1/10/1,1/1/10/5,1/1/4/0,1/1/7/0,1/1/99/0,1/2/0/0,1/2/1/0,1/2/4/0,1/20/0/0,1/20/1/0,1/20/1/7,1/20/17/0,1/20/17/3,1/3/0/0,1/3/1/0,1/3/10/0,1/3/13/0,1/3/16/0,1/3/16/1,1/3/19/0,1/3/4/0,1/3/7/0,1/3/99/0,1/4/0/0,1/4/1/0,1/4/4/0,1/4/7/0,1/4/99/0,1/5/0/0,1/5/1/0,1/5/1/3,1/5/4/0,1/5/7/0,1/5/99/0,1/6/0/0,1/6/1/0,1/6/1/1,1/6/1/3,1/6/1/7,1/6/10/0,1/6/13/0,1/6/4/0,1/6/7/0,1/6/99/0,1/7/0/0,1/7/1/0,1/7/10/0,1/7/4/0,1/7/7/0,1/7/99/0,10/0/0/0,10/1/0/0,10/1/1/0,10/1/5/0,10/1/5/5,10/1/9/0,10/1/9/11,10/1/99/0,10/5/0/0,11/0/0/0,11/1/0/0,11/10/0/0,11/10/3/0,11/7/0/0,11/7/1/0,11/7/99/0,11/99/0/0,13/0/0/0,13/1/0/0,13/1/1/0,13/1/1/1,13/1/1/3,13/1/1/99,13/1/3/0,13/1/3/1,13/1/3/3,13/1/3/5,13/1/3/99,13/11/0/0,13/11/3/0,13/11/3/13,13/11/3/1,13/11/3/7,14/0/0/0,14/1/0/0,14/1/3/0,14/1/3/99,14/10/0/0,14/10/2/0,14/10/2/1,14/20/0/0,14/4/0/0,14/4/3/0,14/4/3/1,14/4/3/3,14/4/3/5,2/0/0/0,2/1/0/0,2/10/0/0,2/11/0/0,2/11/5/0,2/11/99/0,2/13/0/0,2/16/0/0,2/19/0/0,2/22/0/0,2/25/0/0,2/7/0/0,2/99/0/0,29/0/0/0,29/99/0/0,3/0/0/0,3/1/0/0,3/1/3/0,3/1/5/0,3/1/5/1,3/1/9/0,3/1/9/5,3/3/0/0,3/3/1/0,3/3/1/3,3/3/2/0,3/3/3/0,3/3/4/0,3/3/4/3,3/3/4/5,3/99/0/0,30/0/0/0,30/1/0/0,30/10/0/0,30/10/3/0,30/16/0/0,30/19/0/0,30/2/0/0,30/22/0/0,30/25/0/0,30/3/0/0,30/4/0/0,30/7/0/0,30/8/0/0,30/9/0/0,30/99/0/0,4/0/0/0,4/1/0/0,4/1/1/0,4/1/4/0,4/1/99/0,4/3/0/0,4/3/1/0,4/3/3/0,4/3/6/0,4/3/99/0,4/5/0/0,4/5/1/0,4/5/1/1,4/5/1/4,4/5/5/0,4/5/5/1,4/5/5/5,4/5/99/0,4/7/0/0,4/99/0/0,40/0/0/0,40/1/0/0,40/10/0/0,40/10/3/0,40/16/0/0,40/19/0/0,40/2/0/0,40/22/0/0,40/25/0/0,40/27/0/0,40/3/0/0,40/30/0/0,40/4/0/0,40/5/0/0,40/7/0/0,40/8/0/0,40/9/0/0,40/99/0/0,5/0/0/0,5/1/0/0,5/10/0/0,5/4/0/0,5/4/1/0,5/4/2/0,5/7/0/0,5/99/0/0,6/0/0/0,6/1/0/0,6/10/0/0,6/13/0/0,6/13/1/0,6/13/1/1,6/13/4/0,6/13/4/2,6/13/99/0,6/4/0/0,6/7/0/0,6/7/1/0,6/7/11/0,6/7/2/0,6/7/3/0,6/7/4/0,6/7/99/0,6/99/0/0,62/0/0/0,62/2/0/0,62/2/5/0,63/0/0/0,63/1/0/0,63/9/0/0,67/0/0/0,67/1/0/0,67/1/1/0,67/10/0/0,67/11/0/0,67/13/0/0,67/16/0/0,67/19/0/0,67/28/0/0,67/4/0/0,67/4/1/0,67/4/1/1,67/4/1/2,67/4/7/0,67/50/0/0,67/50/22/0,67/50/25/0,67/50/99/0,67/7/0/0,67/7/99/0,67/99/0/0,8/0/0/0,8/1/0/0,8/10/0/0,8/13/0/0,8/16/0/0,8/19/0/0,8/22/0/0,8/4/0/0,8/7/0/0,8/99/0/0

@DATA
-0.27,-0.23,-0.62,-0.54,-0.64,-0.45,0.16,-0.17,0.03,-0.42,-0.34,-0.67,-0.29,-0.81,-0.27,-0.71,-0.36,-0.36,-0.27,-0.15,-0.29,-0.23,-0.04,0.28,0.41,0.28,-0.2,0.03,0.32,0.24,-0.42,0.08,-0.36,-0.51,-0.64,0.15,0.41,0.29,0.18,0.21,0.01,0.26,0.42,-0.81,-0.12,-0.27,-0.15,-0.4,0.03,-0.04,0.58,0.36,0.74,-0.1,0.03,-0.12,-0.18,-0.74,0.07,-0.2,-0.36,-0.4,0.14,0.01,-0.06,-0.2,-0.25,-0.3,0.01,-0.04,-0.25,-0.34,-0.04,?,0.61,0.51,0.56,1.11,-1.03,1/6/1/0@40/7/0/0@40/8/0/0 %  ytypr113w
-0.43,-0.42,-0.69,-0.4,-0.62,-0.3,-0.38,-0.74,-0.27,0.1,-0.32,-0.43,0.03,-0.79,-0.79,-0.51,-0.74,-0.38,-0.2,0.06,-0.12,-0.38,-0.1,-0.51,-0.03,0.31,0.18,0.2,-0.12,0.26,0.11,0.42,-0.3,-0.69,-0.22,-0.09,-0.89,-0.06,0.37,0.26,0.82,-0.17,0.07,0.49,-0.14,0.18,-0.09,-0.15,0.94,0.6,1.34,0.28,1.33,0.24,0.69,-0.1,0.32,-0.04,-0.12,0.5,0.21,-0.15,?,0.12,-0.45,-0.74,-0.36,-0.69,-0.18,0.57,-0.3,-0.34,-0.2,-0.2,?,0.31,0.01,0.46,0.21,40/19/0/0@8/10/0/0 %  ytyjl210w
-0.32,0.33,-0.22,0.03,-0.34,0.26,-0.04,0.07,-0.23,0.26,0.19,0.1,-0.2,-0.03,-0.34,0.15,0.03,-0.03,0.57,-0.03,0.4,-0.86,0.12,0.03,0.11,-0.23,-0.18,-0.23,?,-0.15,-0.27,-0.15,-0.15,0.2,0.07,-0.03,-0.43,-0.47,-0.36,-0.03,0.34,0.04,-0.6,0.34,-0.25,-0.32,-0.25,?,0.24,?,0.76,0.82,0.37,-0.23,0.37,-0.25,0.46,1.4,-0.3,-0.3,-0.3,-0.92,-0.42,-0.06,0.37,0.03,-0.09,-0.14,-0.27,-0.17,-0.54,-0.06,-0.23,-0.43,0.14,0.11,-0.43,0.49,-0.45,1/5/4/0@11/1/0/0@13/11/3/13@14/1/0/0@14/4/3/1@30/16/0/0 %  ytydl006w
-0.45,-0.34,-0.25,0.15,0.18,0.2,0.03,-0.36,0.04,0.31,0.03,0.24,0.03,-0.03,-0.04,0.1,-0.23,-0.3,-0.74,0.38,-0.18,-0.15,-0.06,0.07,0.14,0.55,0.26,0.23,0.04,0.07,0.14,0.15,-0.29,-0.2,0.08,-0.1,-0.45,-0.17,-0.38,-0.09,0.41,-0.42,-0.43,0.15,-0.43,-0.36,-0.38,-0.12,0.42,0.18,0.91,0.72,1.01,0.59,0.57,0.01,0.6,-0.25,-0.3,-0.81,-0.01,-0.29,-0.27,-0.69,-0.12,-0.54,0.11,-0.09,0.06,0.11,-0.79,-0.71,0.01,-0.18,?,-0.25,-0.43,-0.45,0.06,67/50/25/0 %  ytylr188w
-0.07,-0.34,-0.18,-0.03,-0.1,0.08,?,0.01,0.08,-0.3,0.03,-0.23,0.06,-0.23,-0.04,-0.18,-0.22,-0.23,0.04,0.07,0.12,0.14,-0.01,0.08,0.3,0.45,0.26,0.31,0.29,0.15,0.15,0.08,-0.56,-0.51,-0.38,0.16,0.16,0.1,0.07,0.19,0.25,0.06,0.33,-0.69,-0.07,-0.29,-0.06,0.08,0.98,0.32,0.23,0.38,0.38,0.36,0.06,-0.18,0.5,0.1,0.31,-0.22,-0.36,-0.54,-0.18,-0.06,0.34,-0.47,0.07,-0.34,0.14,0.07,-0.09,0.1,0.11,0.23,0.9,0.29,0.26,0.28,-0.4,40/25/0/0@67/4/1/2@67/50/22/0 %  ytyhr026w
0.07,0.1,-0.04,-0.04,-0.25,-0.12,-0.03,0.04,0.39,-0.22,0.24,0.07,-0.03,-0.29,0.08,0.42,-0.36,-0.2,-0.03,-0.2,0.06,0.16,-0.07,0.01,0.26,0.14,0.18,0.14,0.08,0.33,0.21,0.06,0.19,0.23,-0.18,-0.09,-1.64,0.23,-0.01,0.49,1,-0.18,0.06,0.42,0.3,0.08,0.2,0.06,0.14,0.53,0.94,1.12,0.73,-0.38,0.39,0.03,-0.32,0.03,?,0.25,-0.09,0.26,-0.15,0.12,-0.07,-0.23,-0.06,-0.23,?,0.3,0.21,0.4,-0.2,-0.51,-0.04,-0.49,-0.51,0.44,0.38,40/16/0/0@5/1/0/0 %  ytydr405w
0.03,-0.1,0.04,-0.3,-0.2,-0.51,-0.07,-0.04,-0.04,0.03,0.24,0.21,-0.04,-0.22,0.15,0.25,-0.18,0.16,0.4,-0.1,-0.22,-0.07,-0.74,-0.69,-0.71,-0.25,-0.1,-0.17,-0.58,0.32,0.14,-0.12,-0.04,0.33,0.08,-0.74,-0.43,0.26,-1.94,0.52,1.01,?,-0.84,0.03,-1.29,-0.18,-0.94,0.29,0.03,0.1,0.6,0.83,0.81,0.14,0.68,0.54,-0.03,-0.06,-0.29,0.03,0.24,-0.51,-0.58,-0.76,0.66,0.23,0.38,0.14,-0.22,0.26,-0.58,-0.32,0.07,-0.03,0.24,0.14,0.11,1.55,0.85,30/25/0/0@40/3/0/0@40/9/0/0@8/16/0/0@8/19/0/0@8/7/0/0 %  ytybl050w
0.01,-0.01,-0.2,-0.45,0.01,-0.6,?,0.31,-0.1,0.34,-0.32,0.32,?,-0.06,-0.25,0.57,-0.29,0.15,-0.6,-0.47,0.11,0.21,-0.06,-0.14,0.19,-0.01,0.43,0.83,-0.07,0.29,-0.56,0.42,-0.34,-0.36,-0.29,-0.27,-0.56,-0.29,-0.3,-0.43,-0.89,?,-0.49,0.33,-0.42,-0.47,-0.51,0.28,-0.15,0.61,0.77,1.32,1.47,-0.62,0.43,?,-0.01,0.21,0.98,1.56,0.93,0.38,0.2,0.25,-0.32,-0.36,-0.2,-0.51,0.48,0.56,1.01,-0.6,0.19,0.6,0.46,0.78,0.73,1.52,0.75,40/8/0/0@67/4/1/2@67/50/22/0@8/7/0/0 %  ytyal026c
-0.01,0.06,?,-0.04,-0.2,-0.23,?,-0.09,-0.23,0.08,-0.2,0.2,-0.12,-0.3,-0.09,?,0.15,-0.03,0.18,0.12,0.1,-0.23,-0.12,-0.1,-0.32,-0.04,-0.06,-0.04,0.12,-0.04,-0.81,-0.06,-0.18,-0.12,-0.54,-0.1,-1.36,-0.97,0.07,0.4,0.29,-0.89,-0.43,-0.03,-0.69,-0.3,-0.76,-0.09,0.15,-0.06,0.81,1.05,1.32,0.37,0.32,0.9,0.19,0.1,0.23,0.8,0.33,-0.49,0.07,-0.15,-0.1,-0.84,0.04,-0.07,-0.06,0.01,0.18,0.26,0.12,0.39,0.52,0.39,-0.01,0.08,?,30/25/0/0@40/25/0/0@6/4/0/0 %  ytyel013w
0.06,-0.23,0.4,0.3,0.32,0.24,0.21,0.21,-0.03,-0.27,-0.06,-0.23,-0.01,-0.23,0.21,-0.29,0.18,-0.15,0.82,0.12,0.11,0.3,-0.17,-0.58,-0.4,-0.2,-0.14,-0.43,-0.62,-0.1,0.3,-0.09,-0.58,-1.06,-0.74,-0.32,-0.4,-0.25,-0.51,-0.34,-0.22,-0.42,-0.32,-0.25,-0.51,-0.58,-0.14,-0.04,0.24,0.41,0.25,0.56,1.28,-0.32,0.15,0.41,-0.06,-0.34,0.04,0.9,0.33,0.14,0.39,-0.03,0.04,-0.43,-0.03,?,0.08,0.03,-0.56,-0.38,0.23,0.16,0.34,-0.6,-0.07,1.74,1.43,1/5/1/0@2/7/0/0 %  ytygr256w
0.15,-0.01,-0.2,-0.03,-0.18,-0.04,-0.12,-0.22,?,-0.32,?,-0.25,-0.03,-0.18,-0.29,0.01,0.01,-0.29,1.63,0.21,0.18,-0.25,-0.45,-0.36,-0.45,-0.74,-0.47,-0.62,-0.74,-0.54,-0.4,-0.32,0.24,0.03,-0.03,-0.47,-1.89,0.11,-0.22,-0.69,-0.06,-0.27,-0.45,-0.18,-0.45,-0.42,-0.38,-0.15,0.72,0.58,0.67,1.25,1.14,-0.12,-0.01,0.77,0.11,0.57,-0.01,0.25,0.36,0.2,0.01,0.32,-0.23,-0.58,-0.42,-0.69,-0.36,0.38,-0.2,-0.1,0.03,-0.17,-0.17,-0.17,-0.01,2.05,1.37,11/7/0/0@13/1/1/1 %  ytyor031w
0.04,0.37,0.14,0.16,-0.4,-0.25,-0.1,-0.56,-0.17,-0.25,-0.18,-0.18,-0.03,-0.58,-0.36,-0.47,-0.49,-0.27,0.28,0.07,-0.2,-0.29,-0.81,-0.56,-0.42,-0.27,-0.1,0.06,-0.18,0.25,0.06,-0.06,-0.18,-0.34,-0.54,-0.47,-0.76,0.08,-0.34,0.04,0.24,-0.94,-0.62,0.01,-0.25,-0.2,0.25,-0.03,0.52,0.21,0.21,0.38,0.58,0.44,-0.22,0.33,0.01,0.14,0.12,0.72,0.98,0.18,0.08,0.14,-0.25,-0.14,0.16,0.14,-0.04,0.99,?,-0.2,0.06,0.44,0.46,-0.03,-0.25,0.97,0.48,40/16/0/0@6/7/0/0 %  ytymr152w
-0.06,0.2,0.04,-0.22,-0.3,-0.54,-0.17,-0.67,-0.34,0.08,-0.25,-0.15,-0.17,-0.67,-0.47,-0.45,-0.36,-0.36,0.87,-0.01,0.15,-0.27,-0.42,-0.71,-0.2,0.08,0.12,-0.03,-0.15,0.29,0.42,0.44,-0.49,-0.25,-0.43,-0.32,-0.34,-0.14,-0.1,0.03,-0.32,-0.1,-0.01,0.03,0.5,0.57,0.82,-0.12,0.39,0.42,1.32,1.18,1.37,-0.09,0.68,0.77,0.43,0.24,0.15,1.67,0.91,0.59,0.62,0.26,-0.07,-0.1,0.41,0.16,-0.1,0.19,0.28,-0.06,-0.56,0.16,0.03,-0.3,-0.1,0.8,0.3,1/7/1/0 %  ytydr204w
-0.18,-0.29,0.21,-0.17,0.03,-0.45,0.07,-0.38,-0.23,-0.07,-0.1,-0.12,-0.03,-0.47,-0.25,-0.56,-0.15,-0.51,0.29,0.28,-0.22,-0.25,-0.15,-0.71,-0.3,-0.22,0.23,-0.27,-0.15,0.46,0.88,0.1,-0.27,-0.4,-0.09,0.2,0.41,0.4,0.42,-1.12,0.12,-0.12,0.08,-0.14,-0.03,0.01,0.1,-0.54,1.08,1.63,2.83,2.45,1.14,-0.51,0.78,?,1.32,1.42,0.4,1.82,0.99,0.53,0.89,0.46,1.52,1.53,0.12,0.04,0.28,-0.29,-0.49,-1.43,-0.07,0.32,0.76,0.08,0.44,1.26,0.51,11/7/0/0@40/16/0/0 %  ytykr066c
-0.25,0.3,0.12,0.32,-0.22,0.28,-0.14,0.23,0.49,-0.04,0.03,0.04,0.01,-0.1,-0.34,0.3,0.1,0.21,0.29,-0.04,0.26,0.21,0.1,0.11,0.26,0.19,-0.23,?,0.32,-0.04,-0.09,0.07,?,?,0.08,-0.1,0.2,0.54,-0.07,0.7,0.65,0.86,0.76,1.51,1.34,0.99,1.58,0.16,0.08,0.63,1.27,1.43,1.34,-0.47,0.75,0.31,0.07,0.5,-0.03,-0.27,-0.03,-0.43,-0.51,-0.03,0.21,0.67,0.04,-0.1,-0.07,0.32,-0.1,0.1,-0.12,0.25,0.28,0.2,0.07,0.95,0.06,40/16/0/0@5/1/0/0 %  ytybr282w
0.1,0.56,0.39,-0.58,-0.29,-0.34,-0.2,-0.42,-0.29,-0.27,-0.25,-0.49,-0.25,-0.92,-0.3,-0.67,-0.09,-0.67,1.51,0.04,-0.12,-0.67,-0.71,-0.62,-0.79,-0.42,-0.3,-0.69,-0.06,0.01,0.23,-0.1,-0.1,-0.32,-0.25,-0.17,-0.12,-0.32,0.01,-0.04,-0.01,-0.06,0.15,-0.17,0.95,1.06,1.45,-0.15,-0.29,0.18,1.82,1.8,1.77,-0.23,1.53,0.83,-0.49,-0.81,-0.29,1.06,0.67,-0.38,-0.25,-0.07,0.23,1.04,0.7,0.93,-0.3,0.99,0.19,-0.4,-0.06,0.23,0.23,0.5,1.02,2.48,1.14,40/16/0/0@5/1/0/0 %  ytykl142w
0.11,-0.2,-0.01,-0.09,-0.27,0.34,0.06,-0.03,-0.1,-0.22,-0.15,-0.4,-0.27,-0.29,0.08,-0.23,0.16,0.01,1.21,-0.04,-0.32,-0.2,0.04,-0.34,-0.18,-0.03,-0.04,-0.4,-0.2,-0.06,0.07,-0.15,0.46,0.3,0.34,0.36,0.25,0.2,0.43,0.23,0.4,0.51,0.36,0.15,0.95,0.69,1.01,-0.32,-0.81,-0.76,0.85,0.94,0.9,0.25,1.4,1.61,-0.58,-0.04,-0.22,-0.15,-0.27,-0.38,-0.49,-0.58,0.1,0.28,-0.25,0.21,-0.06,-0.15,-0.79,-0.12,0.06,0.07,0.07,-0.34,0.25,1.73,0.72,40/9/0/0@6/4/0/0@8/13/0/0@8/19/0/0 %  ytyor089c
-0.69,-0.29,-0.2,-0.04,-0.36,0.21,0.65,?,-0.51,0.08,-0.06,0.36,-0.32,-0.4,-0.43,-0.06,-0.36,-0.34,-0.1,-0.36,0.33,0.04,-0.06,-0.12,-0.23,0.19,-0.14,0.1,0.01,-0.01,-0.03,0.04,0.21,0.25,0.06,-0.27,-0.54,-0.38,-0.18,0.01,0.39,-0.67,-0.18,-0.22,-0.94,-0.04,-0.32,0.01,0.06,0.4,?,0.19,0.85,-0.15,0.45,0.52,0.73,0.56,-0.47,-0.23,-0.38,-0.01,-0.03,0.43,-0.09,0.1,-0.17,-0.1,-0.4,0.43,-0.14,0.18,0.11,-0.25,-0.27,-0.38,-0.42,-0.25,-0.38,4/1/1/0@4/3/1/0@40/10/0/0 %  ytynl039w
-0.29,1.1,-0.2,-0.06,-0.42,0.44,0.32,0.7,0.42,0.06,0.03,-0.14,-0.18,-0.3,-0.29,0.1,0.18,0.29,-0.25,0.61,0.1,-0.43,0.23,0.14,0.32,-0.34,-0.34,-0.12,0.31,-0.25,-0.58,-0.3,-0.49,-0.12,0.4,0.81,0.51,-0.17,-0.1,0.3,0.71,0.19,0.12,0.11,0.19,0.07,0.23,0.29,0.69,0.11,0.9,0.88,1.07,0.45,0.49,0.58,0.75,0.54,-0.58,-0.69,-0.34,-0.56,-0.36,-0.12,-0.62,-0.56,-0.89,-0.54,-0.38,0.15,-0.03,-0.23,-0.04,-0.03,0.18,-0.42,-0.51,0.1,-0.74,1/1/99/0@11/1/0/0 %  ytyer042w
-0.14,0.25,?,0.2,-0.01,0.23,-0.23,0.19,0.19,-0.18,0.19,0.25,0.26,-0.07,0.01,0.19,0.12,0.04,0.5,0.08,0.16,0.24,0.4,0.32,0.18,-0.17,-0.38,-0.3,0.3,-0.32,-0.23,-0.09,0.16,0.28,0.15,-0.1,-0.22,-0.09,0.16,0.25,0.4,-0.17,-0.14,0.63,0.33,-0.03,0.44,0.15,0.67,0.82,0.58,0.89,1,-0.01,0.04,0.1,1.05,0.76,-0.27,-0.62,-0.38,-0.3,-1.22,-0.12,-0.23,0.63,-0.89,-0.56,0.48,0.58,0.72,0.61,0.3,0.11,0.15,-0.23,-0.47,0.03,-0.51,4/5/5/1@40/10/0/0 %  ytyer112w
-0.32,-1.18,-0.67,-0.4,-0.49,0.07,-0.25,-0.49,-0.17,-0.15,-0.58,-0.22,-0.36,-0.71,-0.86,-0.49,-0.42,-0.14,-0.29,-0.04,-0.22,0.06,0.16,-0.12,-0.58,-0.14,-0.3,-0.32,-0.03,-0.12,-0.67,?,-0.17,-0.47,-0.03,-0.03,-0.54,-0.03,-1.25,-0.09,-0.04,-0.15,-0.43,0.75,-0.3,-0.12,-0.22,-0.09,-0.03,0.11,0.98,0.68,0.9,-0.23,0.56,-0.34,0.41,0.62,-0.01,-0.22,0.29,0.08,-0.23,0.34,-0.71,0.08,-0.6,0.04,-0.32,0.53,0.2,0.06,-0.09,-0.22,-0.04,0.06,0.18,0.26,-0.38,4/5/5/5@40/16/0/0 %  ytykl208w
-0.45,0.07,-0.03,0.26,-0.32,0.54,-0.36,0.01,?,0.37,0.16,0.12,-0.06,0.01,-0.1,0.32,0.08,0.14,0.28,0.11,-0.22,0.46,0.14,0.33,0.15,0.1,0.11,0.32,0.25,-0.12,-0.04,0.23,-1.18,-0.38,0.04,0.03,-0.92,0.12,-0.32,1.43,-0.4,-0.89,-0.64,0.36,-0.56,-0.43,-1.43,0.21,0.78,0.96,1.06,0.78,1.16,-0.09,0.32,0.04,1.17,1.48,-0.25,-0.17,-0.23,-0.07,-0.27,0.44,-0.04,-0.12,0.16,0.26,-0.27,?,0.21,0.91,-0.14,0.24,0.06,-0.38,-0.67,0.06,-0.45,14/4/3/3@4/5/1/4@40/10/0/0 %  ytyer068w
0.1,-0.25,0.01,-0.09,0.03,0.01,-0.17,0.18,0.41,-0.03,0.45,0.4,-0.6,-0.1,0.07,0.4,-0.14,-0.15,-0.79,-0.29,-0.23,0.34,-0.04,0.1,0.07,?,-0.25,-0.14,-0.06,-0.43,-0.4,-0.1,0.14,0.19,-0.25,-0.18,-0.84,-0.54,-0.29,0.36,0.36,-1.03,-0.81,0.46,-0.86,0.06,-0.92,0.14,-0.43,0.2,0.88,0.75,0.73,-0.84,0.63,0.3,-0.23,-0.01,-0.09,-0.32,-0.04,0.21,-0.12,0.06,-0.43,-0.3,-0.27,-0.36,-0.09,-0.01,-0.07,0.62,0.32,0.16,0.24,-0.49,-0.42,-0.22,-0.34,4/3/6/0@40/10/0/0@40/16/0/0@40/3/0/0 %  ytyer168c
-0.23,-0.92,-0.56,-0.67,-0.47,-0.22,0.07,0.31,-0.27,-0.17,-0.45,-0.1,-0.3,0.15,-0.32,-0.12,0.26,0.16,-0.79,-0.47,-0.54,-0.06,-0.06,0.08,-0.4,-0.42,-0.29,-0.14,-0.45,-0.4,-0.27,-0.42,-0.67,0.51,-0.34,-0.22,-0.36,-0.01,-0.27,-0.03,-0.22,-0.22,-0.71,0.32,-0.64,-0.4,-0.64,-0.07,?,?,?,0.01,-0.09,-0.42,-0.4,-0.3,1.05,1.41,-0.12,-0.29,-0.14,1.03,-0.1,0.11,-0.43,-0.58,-0.54,-0.56,0.14,0.38,0.48,1.53,0.14,0.06,0.01,-0.62,-0.51,0.04,-0.34,4/1/1/0@40/10/0/0 %  ytybl014c
-0.58,-0.23,-0.84,-0.27,-0.09,0.11,-0.17,0.08,0.37,-0.12,0.11,-0.07,-0.04,0.18,0.32,0.54,-0.15,0.11,-0.04,0.18,0.2,0.36,0.11,0.29,0.23,0.2,0.33,0.2,0.01,0.24,0.32,0.11,-0.2,-0.07,-0.22,0.01,-0.6,-0.43,-0.34,0.55,0.41,-0.56,-0.4,0.25,-0.79,-0.79,-0.79,-0.03,0.34,0.77,0.5,0.34,0.62,-0.62,-0.36,-0.38,1.2,1.12,0.34,-0.34,-0.34,0.49,-0.12,0.4,-0.62,-0.69,-0.69,-0.64,0.12,0.16,0.57,0.92,0.08,-0.04,-0.18,-0.38,-0.4,-0.67,-0.74,14/4/3/1 %  ytyer114c
-0.2,-0.17,-0.15,-0.34,-0.29,-0.36,0.07,-0.25,0.04,-0.1,0.03,-0.62,-0.15,-0.36,-0.03,-0.07,-0.36,-0.25,0.07,-0.03,-0.17,0.44,0.12,-0.04,0.3,-0.09,0.11,-0.22,-0.42,0.21,-0.3,0.38,-0.43,0.11,-0.04,0.12,-0.76,0.38,0.15,-0.06,-0.04,0.14,-0.07,0.15,-0.43,-0.34,-0.38,-0.06,0.03,-0.03,0.71,0.8,0.58,-0.29,0.98,0.29,0.08,0.24,0.39,0.14,0.42,0.89,-0.09,0.74,-1,-0.86,-0.49,-0.43,0.38,0.69,1.36,0.74,0.03,-0.1,-0.62,-1.15,-0.62,-1.12,-0.4,4/3/3/0@4/5/5/0@40/10/0/0 %  ytyal043c
-0.18,-0.12,-0.22,0.03,-0.09,0.16,-0.03,0.15,0.29,-0.29,0.48,-0.12,-0.15,-0.25,0.33,0.6,-0.29,-0.23,0.04,-0.07,-0.06,0.29,-0.12,0.07,0.24,-0.03,-0.06,0.14,-0.15,-0.07,-0.18,0.06,-0.04,-0.15,0.46,-0.47,-0.71,-0.32,-0.25,0.14,0.3,-0.94,-0.56,-0.1,-1.29,-0.27,-0.89,-0.1,0.48,0.33,1.16,0.99,0.83,0.04,0.52,0.36,0.25,-0.04,0.24,-0.27,-0.32,0.73,-0.07,0.93,-0.49,-0.36,-0.64,-0.76,0.4,0.28,0.82,0.98,-0.03,-0.07,-0.2,-0.51,-0.62,-0.56,-0.42,4/5/1/4 %  ytyer164w
